Item No,UPC No,Manufacturer Name,Product Name,Unit,Savings,ADV USD Special,ADV USD Regular,VP2 USD Special,VP2 USD Regular,VP1 USD Special,VP1 USD Regular,Source_Page
6506786Y,	034139623618,ESTWING MFG CO,HAMMER CURVED CLAW STL 16OZ,EA,10.0%,19.32,21.47,20.39,22.66,21.11,23.46,1
6267306Y,	051218116007,MARSHALLTOWN TR,HAMMER RIP 19OZ CALIF WD 16OAL,EA,10.0%,18.55,20.61,19.53,21.69,20.56,22.84,2
6426993Y,	051218103007,MARSHALLTOWN TR,HAMMER RIP 23OZ CALIF WD 17OL,EA,10.0%,20.56,22.84,21.52,23.91,22.48,24.97,3
6139513Y,	034139628217,ESTWING MFG CO,HAMMER RIP 24OZ STL 16IN OAL,EA,10.0%,28.89,32.11,31.14,34.61,32.21,35.79,4
6439798Y,	034139626411,ESTWING MFG CO,HAMMER RIP 22OZ STL 16IN OAL,EA,10.0%,26.10,29.01,28.13,31.27,29.09,32.33,5
6439814Y,	034139628811,ESTWING MFG CO,HAMMER RIP 28OZ STL 16IN OAL,EA,10.0%,28.22,31.36,30.42,33.80,31.45,34.95,6
6506836Y,	034139623816,ESTWING MFG CO,HAMMER CLW RIP STL 16OZ 13 OAL,EA,10.0%,19.30,21.45,20.37,22.64,21.08,23.43,7
6506869Y,	034139625018,ESTWING MFG CO,HAMMER CLW RIP STL 20OZ 13-1/2,EA,10.0%,21.70,24.12,23.13,25.71,24.36,27.07,8
6507685Y,	034139626619,ESTWING MFG CO,HAMMER RIP 22OZ STL 16IN OAL,EA,10.0%,26.44,29.39,28.19,31.33,29.44,32.72,9
6807481Y,	034139629016,ESTWING MFG CO,HAMMER RIP 28OZ STL 16IN OAL,EA,10.0%,29.33,32.59,31.60,35.11,32.69,36.32,10
6309033Y,	051218178104,MARSHALLTOWN TR,HMMR BRCK 24OZ 11-1/2IN WD HDL,EA,10.0%,21.14,23.49,22.03,24.47,23.19,25.76,11
6506752Y,	034139624516,ESTWING MFG CO,HAMMER TILE/MASON 20OZ 11 OAL,EA,10.0%,23.73,26.37,25.58,28.42,26.45,29.39,12
6908834,	034139620211,ESTWING MFG CO,HAMMER DRLLNG 3LB STL 12INOAL,EA,10.0%,21.79,24.22,23.48,26.10,24.28,26.99,13
6808836Y,	034139640011,ESTWING MFG CO,PRY BAR 15 INCH 18 OZ,EA,10.0%,9.15,10.17,9.53,10.59,10.03,11.15,14
1221373Y,	051218570304,MARSHALLTOWN TR,PRY BAR CLAW NAIL PULLER 12IN,EA,10.1%,12.43,13.82,13.17,14.64,13.84,15.38,15
7798747Y,	034139102960,ESTWING MFG CO,NAIL PULLER STEEL BLUE 10.6IN,EA,10.1%,8.71,9.69,9.34,10.39,9.74,10.84,16
7798754Y,	034139103462,ESTWING MFG CO,NAIL PULLER STL BLUE 12-1/2IN,EA,10.1%,10.10,11.23,10.83,12.04,11.29,12.56,17
7798762Y,	034139103868,ESTWING MFG CO,NAIL PULLER STEEL BLUE 14IN,EA,10.1%,11.80,13.12,12.42,13.81,13.08,14.54,18
9811423Y,	051218570274,MARSHALLTOWN TR,PRY BAR CLAW NAIL PULLER 10IN,EA,10.0%,9.75,10.83,10.34,11.48,10.85,12.05,19
7468291Y,	850029463016,HAMMERLESS TOOL,CTR PUNCH&NAIL SET 3/16X2/32IN,CD,14.7%,5.94,6.96,6.37,7.33,6.70,7.72,20
